"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100","Cash Management Bill (CMB)","Currently Outstanding","Estimated Amount of Publicly Held Maturing Securities by Type","Floating Rate","Interest Rate","Maturing Date","Offering Amount","Reopening","TIPS","Total Accepted"
"912794KK9","Bill","13-Week","03/10/1986","03/13/1986","06/12/1986","","No","","","No","","","$6,800,000,000","Yes","No","$6,808,970,000"
"912794LC6","Bill","26-Week","03/10/1986","03/13/1986","09/11/1986","","No","","","No","","","$6,800,000,000","No","No","$6,840,065,000"
"912794KJ2","Bill","13-Week","03/03/1986","03/06/1986","06/05/1986","","No","","","No","","","$6,800,000,000","Yes","No","$6,857,365,000"
"912794KQ6","Bill","26-Week","03/03/1986","03/06/1986","09/04/1986","","No","","","No","","","$6,800,000,000","Yes","No","$6,811,600,000"
"912827TJ1","Note","5-Year 2-Month","02/26/1986","03/05/1986","05/15/1991","","No","","","No","8.125%","","$7,500,000,000","No","No","$7,837,903,000"
"912794KH6","Bill","13-Week","02/24/1986","02/27/1986","05/29/1986","","No","","","No","","","$6,800,000,000","Yes","No","$6,808,585,000"
"912794LB8","Bill","26-Week","02/24/1986","02/27/1986","08/28/1986","","No","","","No","","","$6,800,000,000","No","No","$6,803,325,000"
"912827TH5","Note","2-Year","02/19/1986","02/28/1986","02/29/1988","","No","","","No","8.000%","","$9,500,000,000","No","No","$10,566,925,000"
"912794KG8","Bill","13-Week","02/18/1986","02/20/1986","05/22/1986","","No","","","No","","","$6,800,000,000","Yes","No","$6,809,335,000"
"912794LA0","Bill","26-Week","02/18/1986","02/20/1986","08/21/1986","","No","","","No","","","$6,800,000,000","No","No","$6,815,910,000"
"912794LX0","Bill","52-Week","02/13/1986","02/20/1986","02/19/1987","","No","","","No","","","$9,000,000,000","No","No","$9,133,115,000"
"912794KF0","Bill","13-Week","02/10/1986","02/13/1986","05/15/1986","","No","","","No","","","$7,000,000,000","Yes","No","$7,028,365,000"
"912794KZ6","Bill","26-Week","02/10/1986","02/13/1986","08/14/1986","","No","","","No","","","$7,000,000,000","No","No","$7,017,145,000"
"912810DV7","Bond","30-Year","02/06/1986","02/18/1986","02/15/2016","","No","","","No","9.250%","","$7,000,000,000","No","No","$7,254,264,000"
"912827TF9","Note","10-Year","02/05/1986","02/18/1986","02/15/1996","","No","","","No","8.875%","","$7,000,000,000","No","No","$7,563,484,000"
"912827TG7","Note","10-Year","02/05/1986","02/18/1986","02/15/1996","","No","","","No","8.875%","","$1,000,000,000","No","No","$1,001,000,000"
"912827TE2","Note","3-Year","02/04/1986","02/18/1986","02/15/1989","","No","","","No","8.000%","","$9,000,000,000","No","No","$10,213,010,000"
"912794KE3","Bill","13-Week","02/03/1986","02/06/1986","05/08/1986","","No","","","No","","","$7,000,000,000","Yes","No","$7,034,690,000"
"912794KP8","Bill","26-Week","02/03/1986","02/06/1986","08/07/1986","","No","","","No","","","$7,000,000,000","Yes","No","$7,010,385,000"
"912794KD5","Bill","13-Week","01/27/1986","01/30/1986","05/01/1986","","No","","","No","","","$7,200,000,000","Yes","No","$7,212,105,000"
"912794KY9","Bill","26-Week","01/27/1986","01/30/1986","07/31/1986","","No","","","No","","","$7,200,000,000","No","No","$7,205,185,000"
"912827TD4","Note","2-Year","01/22/1986","01/31/1986","01/31/1988","","No","","","No","8.125%","","$9,500,000,000","No","No","$10,418,470,000"
"912794KC7","Bill","13-Week","01/21/1986","01/23/1986","04/24/1986","","No","","","No","","","$7,200,000,000","Yes","No","$7,200,270,000"
"912794KX1","Bill","26-Week","01/21/1986","01/23/1986","07/24/1986","","No","","","No","","","$7,200,000,000","No","No","$7,206,130,000"
"912794LT9","Bill","52-Week","01/16/1986","01/23/1986","01/22/1987","","No","","","No","","","$9,000,000,000","No","No","$9,162,810,000"
"912794KB9","Bill","13-Week","01/13/1986","01/16/1986","04/17/1986","","No","","","No","","","$7,400,000,000","Yes","No","$7,482,570,000"
"912794KW3","Bill","26-Week","01/13/1986","01/16/1986","07/17/1986","","No","","","No","","","$7,400,000,000","No","No","$7,636,775,000"
"912810DU9","Bond","20-Year 1-Month","01/08/1986","01/15/1986","02/15/2006","","No","","","No","9.375%","","$4,750,000,000","No","No","$4,750,318,000"
"912827TC6","Note","7-Year","01/07/1986","01/15/1986","01/15/1993","","No","","","No","8.750%","","$6,500,000,000","No","No","$6,504,650,000"
"912794KA1","Bill","13-Week","01/06/1986","01/09/1986","04/10/1986","","No","","","No","","","$7,400,000,000","Yes","No","$7,402,930,000"
"912794KN3","Bill","26-Week","01/06/1986","01/09/1986","07/10/1986","","No","","","No","","","$7,400,000,000","Yes","No","$7,427,235,000"
"912794JZ8","Bill","13-Week","12/30/1985","01/02/1986","04/03/1986","","No","","","No","","","$7,600,000,000","Yes","No","$7,601,800,000"
"912794KV5","Bill","26-Week","12/30/1985","01/02/1986","07/03/1986","","No","","","No","","","$7,600,000,000","No","No","$7,613,105,000"
"912794JY1","Bill","13-Week","12/23/1985","12/26/1985","03/27/1986","","No","","","No","","","$7,600,000,000","Yes","No","$7,602,390,000"
"912794KM5","Bill","26-Week","12/23/1985","12/26/1985","06/26/1986","","No","","","No","","","$7,600,000,000","No","No","$7,606,795,000"
"912794KU7","Bill","52-Week","12/19/1985","12/26/1985","12/26/1986","","No","","","No","","","$9,000,000,000","No","No","$9,265,630,000"
"912827TB8","Note","4-Year","12/18/1985","12/31/1985","12/31/1989","","No","","","No","8.375%","","$7,000,000,000","No","No","$7,455,338,000"
"912827TA0","Note","2-Year","12/17/1985","12/31/1985","12/31/1987","","No","","","No","7.875%","","$9,500,000,000","No","No","$10,436,490,000"
"912794JX3","Bill","13-Week","12/16/1985","12/19/1985","03/20/1986","","No","","","No","","","$7,600,000,000","Yes","No","$7,606,995,000"
"912794KL7","Bill","26-Week","12/16/1985","12/19/1985","06/19/1986","","No","","","No","","","$7,600,000,000","No","No","$7,605,750,000"
"912794JW5","Bill","13-Week","12/12/1985","12/12/1985","03/13/1986","","No","","","No","","","$7,600,000,000","Yes","No","$7,605,765,000"
"912794KK9","Bill","26-Week","12/12/1985","12/12/1985","06/12/1986","","No","","","No","","","$7,600,000,000","Yes","No","$7,608,570,000"
"912794JV7","Bill","13-Week","12/02/1985","12/05/1985","03/06/1986","","No","","","No","","","$7,600,000,000","Yes","No","$7,611,510,000"
"912794KJ2","Bill","26-Week","12/02/1985","12/05/1985","06/05/1986","","No","","","No","","","$7,600,000,000","No","No","$7,605,730,000"
