"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100","Cash Management Bill (CMB)","Currently Outstanding","Estimated Amount of Publicly Held Maturing Securities by Type","Floating Rate","Interest Rate","Maturing Date","Offering Amount","Reopening","TIPS","Total Accepted"
"912795Q79","Bill","225-Day","10/20/2008","10/22/2008","06/04/2009","99.000000","Yes","$16,000,000,000","","No","","10/22/2008","$35,000,000,000","Yes","No","$35,000,204,000"
"912795J51","Bill","74-Day","10/17/2008","10/20/2008","01/02/2009","99.835556","Yes","$48,028,000,000","","No","","10/20/2008","$30,000,000,000","Yes","No","$30,000,105,000"
"912795J85","Bill","94-Day","10/17/2008","10/20/2008","01/22/2009","99.757167","Yes","$23,010,000,000","","No","","10/20/2008","$30,000,000,000","Yes","No","$30,000,022,000"
"912795T92","Bill","191-Day","10/16/2008","10/20/2008","04/29/2009","99.283750","Yes","","","No","","10/20/2008","$35,000,000,000","No","No","$35,000,031,000"
"912795U25","Bill","247-Day","10/16/2008","10/20/2008","06/24/2009","99.073750","Yes","","","No","","10/20/2008","$35,000,000,000","No","No","$35,000,280,000"
"912795H61","Bill","4-Week","10/15/2008","10/16/2008","11/13/2008","99.992222","No","$99,010,000,000","$120,120,000,000","No","","10/16/2008","$27,000,000,000","Yes","No","$29,418,070,500"
"912795J36","Bill","63-Day","10/15/2008","10/16/2008","12/18/2008","99.914250","Yes","$82,019,000,000","","No","","10/16/2008","$45,000,000,000","Yes","No","$45,000,152,700"
"912795J77","Bill","13-Week","10/14/2008","10/16/2008","01/15/2009","99.873611","No","$79,025,000,000","$120,120,000,000","No","","10/16/2008","$25,000,000,000","Yes","No","$25,000,290,500"
"912795L41","Bill","26-Week","10/14/2008","10/16/2008","04/16/2009","99.443889","No","","$120,120,000,000","No","","10/16/2008","$27,000,000,000","No","No","$27,000,075,400"
"912828DM9","Note","6-Year 4-Month","10/09/2008","10/15/2008","02/15/2015","104.384130","No","$24,215,000,000","$15,022,000,000","No","4.000%","10/15/2008","$10,000,000,000","Yes","No","$10,000,001,000"
"912828HR4","Note","9-Year 4-Month","10/09/2008","10/15/2008","02/15/2018","97.730424","No","$29,205,000,000","$15,022,000,000","No","3.500%","10/15/2008","$10,000,000,000","Yes","No","$10,000,175,000"
"912795J77","Bill","97-Day","10/09/2008","10/10/2008","01/15/2009","99.784444","Yes","$49,025,000,000","","No","","10/10/2008","$30,000,000,000","Yes","No","$30,000,440,000"
