"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100","Cash Management Bill (CMB)","Currently Outstanding","Estimated Amount of Publicly Held Maturing Securities by Type","Floating Rate","Interest Rate","Maturing Date","Offering Amount","Reopening","TIPS","Total Accepted"
"912796C31","Bill","13-Week","10/25/2021","10/28/2021","01/27/2022","99.986097","No","$96,001,000,000","$108,004,000,000","No","","10/28/2021","$54,000,000,000","Yes","No","$60,651,575,600"
"912796P37","Bill","26-Week","10/25/2021","10/28/2021","04/28/2022","99.969667","No","","$108,004,000,000","No","","10/28/2021","$48,000,000,000","No","No","$53,912,904,100"
"91282CDC2","Note","5-Year","10/21/2021","10/29/2021","10/15/2026","109.509314","No","","$0","No","0.125%","10/29/2021","$19,000,000,000","No","Yes","$19,000,103,200"
"912796N70","Bill","4-Week","10/21/2021","10/26/2021","11/23/2021","99.996111","No","$59,428,000,000","$75,001,000,000","No","","10/26/2021","$60,000,000,000","Yes","No","$63,551,561,800"
"912796P78","Bill","8-Week","10/21/2021","10/26/2021","12/21/2021","99.984444","No","$30,000,000,000","$75,001,000,000","No","","10/26/2021","$25,000,000,000","Yes","No","$26,479,640,800"
"912810TA6","Bond","19-Year 10-Month","10/20/2021","11/01/2021","08/15/2041","94.354444","No","$57,282,000,000","$143,457,000,000","No","1.750%","10/31/2021","$24,000,000,000","Yes","No","$26,439,990,100"
"912796R92","Bill","119-Day","10/20/2021","10/26/2021","02/22/2022","99.981819","Yes","","","No","","10/26/2021","$40,000,000,000","No","No","$40,002,233,000"
"912796H69","Bill","27-Day","10/20/2021","10/22/2021","11/18/2021","99.995875","Yes","$118,905,000,000","","No","","10/22/2021","$60,000,000,000","Yes","No","$60,000,612,800"
"912796N88","Bill","40-Day","10/19/2021","10/21/2021","11/30/2021","99.993889","Yes","$59,367,000,000","","No","","10/21/2021","$60,000,000,000","Yes","No","$60,003,590,200"
"912796K81","Bill","13-Week","10/18/2021","10/21/2021","01/20/2022","99.986097","No","$57,761,000,000","$108,006,000,000","No","","10/21/2021","$48,000,000,000","Yes","No","$54,982,479,500"
"912796G45","Bill","26-Week","10/18/2021","10/21/2021","04/21/2022","99.969667","No","$38,008,000,000","$108,006,000,000","No","","10/21/2021","$45,000,000,000","Yes","No","$51,547,606,500"
"912796N62","Bill","4-Week","10/14/2021","10/19/2021","11/16/2021","99.997278","No","$64,397,000,000","$80,004,000,000","No","","10/19/2021","$25,000,000,000","Yes","No","$27,636,170,800"
"912796P60","Bill","8-Week","10/14/2021","10/19/2021","12/14/2021","99.987556","No","$30,002,000,000","$80,004,000,000","No","","10/19/2021","$25,000,000,000","Yes","No","$27,636,069,600"
"912796H77","Bill","39-Day","10/14/2021","10/18/2021","11/26/2021","99.994042","Yes","$115,661,000,000","","No","","10/18/2021","$60,000,000,000","Yes","No","$60,000,080,200"
"912796R84","Bill","119-Day","10/13/2021","10/19/2021","02/15/2022","99.983472","Yes","","","No","","10/19/2021","$35,000,000,000","No","No","$35,001,700,300"
"912810SZ2","Bond","29-Year 10-Month","10/13/2021","10/15/2021","08/15/2051","98.908044","No","$65,601,000,000","$26,971,000,000","No","2.000%","10/15/2021","$24,000,000,000","Yes","No","$25,805,823,000"
"91282CDB4","Note","3-Year","10/12/2021","10/15/2021","10/15/2024","99.970331","No","","$26,971,000,000","No","0.625%","10/15/2021","$58,000,000,000","No","No","$62,364,041,500"
"91282CCS8","Note","9-Year 10-Month","10/12/2021","10/15/2021","08/15/2031","96.968273","No","$101,338,000,000","$26,971,000,000","No","1.250%","10/15/2021","$38,000,000,000","Yes","No","$40,859,190,800"
"912796K73","Bill","13-Week","10/12/2021","10/14/2021","01/13/2022","99.987361","No","$57,249,000,000","$108,005,000,000","No","","10/14/2021","$42,000,000,000","Yes","No","$48,266,038,200"
"912796P29","Bill","26-Week","10/12/2021","10/14/2021","04/14/2022","99.972194","No","","$108,005,000,000","No","","10/14/2021","$42,000,000,000","No","No","$48,266,093,300"
"912796N54","Bill","4-Week","10/07/2021","10/12/2021","11/09/2021","99.997278","No","$68,283,000,000","$90,000,000,000","No","","10/12/2021","$10,000,000,000","Yes","No","$11,365,929,500"
"912796P52","Bill","8-Week","10/07/2021","10/12/2021","12/07/2021","99.982889","No","$30,001,000,000","$90,000,000,000","No","","10/12/2021","$25,000,000,000","Yes","No","$28,414,590,800"
"912796J67","Bill","64-Day","10/06/2021","10/13/2021","12/16/2021","99.991111","Yes","$112,584,000,000","","No","","10/13/2021","$40,000,000,000","Yes","No","$40,001,467,000"
"912796R76","Bill","119-Day","10/06/2021","10/12/2021","02/08/2022","99.981819","Yes","","","No","","10/12/2021","$30,000,000,000","No","No","$30,000,198,000"
"912796ZB8","Bill","8-Day","10/05/2021","10/07/2021","10/15/2021","99.996889","Yes","$50,000,000,000","","No","","10/07/2021","$25,000,000,000","Yes","No","$25,000,222,000"
"912796M89","Bill","52-Week","10/05/2021","10/07/2021","10/06/2022","99.909000","No","","$145,002,000,000","No","","10/07/2021","$34,000,000,000","No","No","$39,631,828,400"
"912796K65","Bill","13-Week","10/04/2021","10/07/2021","01/06/2022","99.989889","No","$60,855,000,000","$145,002,000,000","No","","10/07/2021","$42,000,000,000","Yes","No","$48,956,802,600"
"912796N47","Bill","26-Week","10/04/2021","10/07/2021","04/07/2022","99.972194","No","","$145,002,000,000","No","","10/07/2021","$42,000,000,000","No","No","$48,957,557,300"
"912796M63","Bill","4-Week","09/30/2021","10/05/2021","11/02/2021","99.996500","No","$68,678,000,000","$95,007,000,000","No","","10/05/2021","$10,000,000,000","Yes","No","$11,745,352,500"
"912796N88","Bill","8-Week","09/30/2021","10/05/2021","11/30/2021","99.993778","No","$30,001,000,000","$95,007,000,000","No","","10/05/2021","$25,000,000,000","Yes","No","$29,363,201,300"
"912796Q93","Bill","119-Day","09/29/2021","10/05/2021","02/01/2022","99.983472","Yes","","","No","","10/05/2021","$30,000,000,000","No","No","$30,000,251,000"
"91282CCY5","Note","7-Year","09/28/2021","09/30/2021","09/30/2028","99.453681","No","","$82,611,000,000","No","1.250%","09/30/2021","$62,000,000,000","No","No","$69,466,897,600"
"912796A90","Bill","13-Week","09/27/2021","09/30/2021","12/30/2021","99.991153","No","$101,244,000,000","$176,004,000,000","No","","09/30/2021","$42,000,000,000","Yes","No","$49,215,240,000"
"912796N39","Bill","26-Week","09/27/2021","09/30/2021","03/31/2022","99.974722","No","","$176,004,000,000","No","","09/30/2021","$42,000,000,000","No","No","$49,216,999,600"
"91282CDA6","Note","2-Year","09/27/2021","09/30/2021","09/30/2023","99.880464","No","","$82,611,000,000","No","0.250%","09/30/2021","$60,000,000,000","No","No","$67,226,031,500"
"91282CCZ2","Note","5-Year","09/27/2021","09/30/2021","09/30/2026","99.440349","No","","$82,611,000,000","No","0.875%","09/30/2021","$61,000,000,000","No","No","$68,346,508,900"
"91282CCM1","Note","9-Year 10-Month","09/23/2021","09/30/2021","07/15/2031","112.982468","No","$16,000,000,000","$82,611,000,000","No","0.125%","09/30/2021","$14,000,000,000","Yes","Yes","$15,686,082,900"
"912796M55","Bill","4-Week","09/23/2021","09/28/2021","10/26/2021","99.996111","No","$68,261,000,000","$100,003,000,000","No","","09/28/2021","$10,000,000,000","Yes","No","$11,770,930,900"
"912796N70","Bill","8-Week","09/23/2021","09/28/2021","11/23/2021","99.994556","No","$30,001,000,000","$100,003,000,000","No","","09/28/2021","$25,000,000,000","Yes","No","$29,427,149,100"
"912796Q85","Bill","119-Day","09/22/2021","09/28/2021","01/25/2022","99.988431","Yes","","","No","","09/28/2021","$30,000,000,000","No","No","$30,000,606,800"
"91282CCQ2","Note","1-Year 10-Month","09/22/2021","09/24/2021","07/31/2023","100.005620","No","$56,682,000,000","$0","Yes","","09/24/2021","$26,000,000,000","Yes","No","$26,000,034,600"
"912810TA6","Bond","19-Year 11-Month","09/21/2021","09/30/2021","08/15/2041","99.249087","No","$30,392,000,000","$82,611,000,000","No","1.750%","09/30/2021","$24,000,000,000","Yes","No","$26,890,418,900"
"912796J75","Bill","13-Week","09/20/2021","09/23/2021","12/23/2021","99.991153","No","$55,952,000,000","$176,001,000,000","No","","09/23/2021","$45,000,000,000","Yes","No","$46,990,297,300"
"912796F38","Bill","26-Week","09/20/2021","09/23/2021","03/24/2022","99.977250","No","$35,210,000,000","$176,001,000,000","No","","09/23/2021","$45,000,000,000","Yes","No","$46,990,556,400"
"912796M48","Bill","4-Week","09/16/2021","09/21/2021","10/19/2021","99.995722","No","$68,079,000,000","$105,005,000,000","No","","09/21/2021","$15,000,000,000","Yes","No","$17,196,485,400"
"912796N62","Bill","8-Week","09/16/2021","09/21/2021","11/16/2021","99.991444","No","$30,003,000,000","$105,005,000,000","No","","09/21/2021","$30,000,000,000","Yes","No","$34,393,581,100"
"912796Q77","Bill","119-Day","09/15/2021","09/21/2021","01/18/2022","99.985125","Yes","","","No","","09/21/2021","$30,000,000,000","No","No","$30,001,133,000"
"912796J67","Bill","13-Week","09/13/2021","09/16/2021","12/16/2021","99.989889","No","$59,290,000,000","$131,001,000,000","No","","09/16/2021","$48,000,000,000","Yes","No","$53,293,808,200"
"912796N21","Bill","26-Week","09/13/2021","09/16/2021","03/17/2022","99.974722","No","","$131,001,000,000","No","","09/16/2021","$45,000,000,000","No","No","$49,965,366,000"
"912810SZ2","Bond","29-Year 11-Month","09/09/2021","09/15/2021","08/15/2051","102.042432","No","$39,046,000,000","$22,222,000,000","No","2.000%","09/15/2021","$24,000,000,000","Yes","No","$26,555,612,000"
"912796M30","Bill","4-Week","09/09/2021","09/14/2021","10/12/2021","99.995333","No","$72,595,000,000","$110,002,000,000","No","","09/14/2021","$20,000,000,000","Yes","No","$22,187,546,400"
"912796N54","Bill","8-Week","09/09/2021","09/14/2021","11/09/2021","99.989889","No","$35,001,000,000","$110,002,000,000","No","","09/14/2021","$30,000,000,000","Yes","No","$33,281,357,300"
"91282CCS8","Note","9-Year 11-Month","09/08/2021","09/15/2021","08/15/2031","99.184765","No","$59,292,000,000","$22,222,000,000","No","1.250%","09/15/2021","$38,000,000,000","Yes","No","$42,046,369,700"
"912796Q69","Bill","119-Day","09/08/2021","09/14/2021","01/11/2022","99.985125","Yes","","","No","","09/14/2021","$30,000,000,000","No","No","$30,001,689,900"
"91282CCX7","Note","3-Year","09/07/2021","09/15/2021","09/15/2024","99.785680","No","","$22,222,000,000","No","0.375%","09/15/2021","$58,000,000,000","No","No","$64,176,071,300"
"912796F61","Bill","21-Day","09/07/2021","09/09/2021","09/30/2021","99.997083","Yes","$145,432,000,000","","No","","09/09/2021","$45,000,000,000","Yes","No","$45,001,923,000"
"912796J59","Bill","13-Week","09/07/2021","09/09/2021","12/09/2021","99.988625","No","$58,648,000,000","$162,006,000,000","No","","09/09/2021","$51,000,000,000","Yes","No","$56,129,823,600"
"912796M97","Bill","26-Week","09/07/2021","09/09/2021","03/10/2022","99.974722","No","","$162,006,000,000","No","","09/09/2021","$48,000,000,000","No","No","$52,828,936,800"
"912796M71","Bill","52-Week","09/07/2021","09/09/2021","09/08/2022","99.924167","No","","$162,006,000,000","No","","09/09/2021","$34,000,000,000","No","No","$37,419,840,200"
"912796M22","Bill","4-Week","09/02/2021","09/07/2021","10/05/2021","99.997278","No","$73,048,000,000","$115,004,000,000","No","","09/07/2021","$25,000,000,000","Yes","No","$28,063,883,400"
"912796M63","Bill","8-Week","09/02/2021","09/07/2021","11/02/2021","99.989889","No","$35,002,000,000","$115,004,000,000","No","","09/07/2021","$30,000,000,000","Yes","No","$33,676,063,600"
"912796Q51","Bill","119-Day","09/01/2021","09/07/2021","01/04/2022","99.985125","Yes","","","No","","09/07/2021","$30,000,000,000","No","No","$30,000,978,500"
"912796F53","Bill","21-Day","08/31/2021","09/02/2021","09/23/2021","99.997667","Yes","$134,981,000,000","","No","","09/02/2021","$45,000,000,000","Yes","No","$45,000,277,000"
"9127965G0","Bill","13-Week","08/30/2021","09/02/2021","12/02/2021","99.988625","No","$100,151,000,000","$143,001,000,000","No","","09/02/2021","$51,000,000,000","Yes","No","$58,423,042,600"
"912796L98","Bill","26-Week","08/30/2021","09/02/2021","03/03/2022","99.972194","No","","$143,001,000,000","No","","09/02/2021","$48,000,000,000","No","No","$54,986,809,500"
"912796L56","Bill","4-Week","08/26/2021","08/31/2021","09/28/2021","99.997278","No","$72,939,000,000","$115,002,000,000","No","","08/31/2021","$30,000,000,000","Yes","No","$33,259,946,000"
"912796M55","Bill","8-Week","08/26/2021","08/31/2021","10/26/2021","99.990667","No","$35,001,000,000","$115,002,000,000","No","","08/31/2021","$30,000,000,000","Yes","No","$33,260,795,200"
"91282CCV1","Note","7-Year","08/26/2021","08/31/2021","08/31/2028","99.798822","No","","$83,132,000,000","No","1.125%","08/31/2021","$62,000,000,000","No","No","$69,789,802,900"
"912796P86","Bill","119-Day","08/25/2021","08/31/2021","12/28/2021","99.983472","Yes","","","No","","08/31/2021","$30,000,000,000","No","No","$30,002,583,400"
"91282CCW9","Note","5-Year","08/25/2021","08/31/2021","08/31/2026","99.604103","No","","$83,132,000,000","No","0.750%","08/31/2021","$61,000,000,000","No","No","$68,664,203,000"
"91282CCQ2","Note","1-Year 11-Month","08/25/2021","08/27/2021","07/31/2023","100.005852","No","$30,682,000,000","$0","Yes","","08/27/2021","$26,000,000,000","Yes","No","$26,000,630,600"
"91282CCU3","Note","2-Year","08/24/2021","08/31/2021","08/31/2023","99.766706","No","","$83,132,000,000","No","0.125%","08/31/2021","$60,000,000,000","No","No","$67,538,628,300"
"912796ZC6","Bill","67-Day","08/24/2021","08/26/2021","11/01/2021","99.988833","Yes","","","No","","08/26/2021","$40,000,000,000","No","No","$40,000,336,000"
"912796H77","Bill","13-Week","08/23/2021","08/26/2021","11/26/2021","99.985944","No","$59,015,000,000","$143,009,000,000","No","","08/26/2021","$51,000,000,000","Yes","No","$56,643,680,400"
"912796D30","Bill","26-Week","08/23/2021","08/26/2021","02/24/2022","99.974722","No","$37,771,000,000","$143,009,000,000","No","","08/26/2021","$48,000,000,000","Yes","No","$53,311,062,100"
"912810SV1","Bond","29-Year 6-Month","08/19/2021","08/31/2021","02/15/2051","117.718212","No","$8,995,000,000","$83,132,000,000","No","0.125%","08/31/2021","$8,000,000,000","Yes","Yes","$9,005,135,100"
"912796L49","Bill","4-Week","08/19/2021","08/24/2021","09/21/2021","99.996889","No","$73,005,000,000","$115,005,000,000","No","","08/24/2021","$35,000,000,000","Yes","No","$38,588,545,400"
"912796M48","Bill","8-Week","08/19/2021","08/24/2021","10/19/2021","99.991444","No","$35,002,000,000","$115,005,000,000","No","","08/24/2021","$30,000,000,000","Yes","No","$33,076,618,000"
"912810TA6","Bond","20-Year","08/18/2021","08/31/2021","08/15/2041","98.336995","No","","$83,132,000,000","No","1.750%","08/31/2021","$27,000,000,000","No","No","$30,392,375,200"
"912796P78","Bill","119-Day","08/18/2021","08/24/2021","12/21/2021","99.985125","Yes","","","No","","08/24/2021","$30,000,000,000","No","No","$30,000,049,000"
"912796F61","Bill","42-Day","08/17/2021","08/19/2021","09/30/2021","99.995333","Yes","$125,431,000,000","","No","","08/19/2021","$20,000,000,000","Yes","No","$20,000,995,500"
"912796ZB8","Bill","57-Day","08/17/2021","08/19/2021","10/15/2021","99.989708","Yes","","","No","","08/19/2021","$50,000,000,000","No","No","$50,000,498,300"
"912796H69","Bill","13-Week","08/16/2021","08/19/2021","11/18/2021","99.982306","No","$60,765,000,000","$148,010,000,000","No","","08/19/2021","$51,000,000,000","Yes","No","$58,141,795,900"
"912796L80","Bill","26-Week","08/16/2021","08/19/2021","02/17/2022","99.974722","No","","$148,010,000,000","No","","08/19/2021","$48,000,000,000","No","No","$54,722,234,900"
"912796L31","Bill","4-Week","08/12/2021","08/17/2021","09/14/2021","99.996500","No","$72,506,000,000","$115,003,000,000","No","","08/17/2021","$40,000,000,000","Yes","No","$42,964,588,000"
"912796M30","Bill","8-Week","08/12/2021","08/17/2021","10/12/2021","99.991444","No","$35,002,000,000","$115,003,000,000","No","","08/17/2021","$35,000,000,000","Yes","No","$37,593,901,500"
"912810SZ2","Bond","30-Year","08/12/2021","08/16/2021","08/15/2051","99.105786","No","","$58,598,000,000","No","2.000%","08/15/2021","$27,000,000,000","No","No","$39,045,825,200"
"912796P60","Bill","119-Day","08/11/2021","08/17/2021","12/14/2021","99.985125","Yes","","","No","","08/17/2021","$30,000,000,000","No","No","$30,002,038,500"
"91282CCS8","Note","10-Year","08/11/2021","08/16/2021","08/15/2031","99.160510","No","","$58,598,000,000","No","1.250%","08/15/2021","$41,000,000,000","No","No","$59,291,870,300"
