"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100","Cash Management Bill (CMB)","Currently Outstanding","Estimated Amount of Publicly Held Maturing Securities by Type","Floating Rate","Interest Rate","Maturing Date","Offering Amount","Reopening","TIPS","Total Accepted"
"912795RN3","Bill","26-Week","05/24/2004","05/27/2004","11/26/2004","99.301","No","","","No","","05/27/2004","$15,000,000,000","No","No","$20,626,217,000"
"912795QD6","Bill","4-Week","05/18/2004","05/20/2004","06/17/2004","99.930","No","","","No","","05/20/2004","$21,000,000,000","Yes","No","$25,406,655,000"
"912795QY0","Bill","13-Week","05/17/2004","05/20/2004","08/19/2004","99.737","No","","","No","","05/20/2004","$18,000,000,000","Yes","No","$24,751,442,000"
"912795RM5","Bill","26-Week","05/17/2004","05/20/2004","11/18/2004","99.325","No","","","No","","05/20/2004","$15,000,000,000","No","No","$20,737,112,000"
"912828CJ7","Note","10-Year","05/13/2004","05/17/2004","05/15/2014","99.230","No","","","No","4.750%","05/15/2004","$15,000,000,000","No","No","$17,293,646,000"
"912828CH1","Note","5-Year","05/12/2004","05/17/2004","05/15/2009","99.766","No","","","No","3.875%","05/15/2004","$15,000,000,000","No","No","$18,057,757,000"
"912828CG3","Note","3-Year","05/11/2004","05/17/2004","05/15/2007","99.790","No","","","No","3.125%","05/15/2004","$24,000,000,000","No","No","$27,562,256,000"
"912795QC8","Bill","4-Week","05/11/2004","05/13/2004","06/10/2004","99.930","No","","","No","","05/13/2004","$19,000,000,000","Yes","No","$23,112,555,000"
"912795QX2","Bill","13-Week","05/10/2004","05/13/2004","08/12/2004","99.732","No","","","No","","05/13/2004","$18,000,000,000","Yes","No","$24,855,611,000"
"912795RL7","Bill","26-Week","05/10/2004","05/13/2004","11/12/2004","99.319","No","","","No","","05/13/2004","$15,000,000,000","No","No","$20,529,300,000"
"912795QB0","Bill","4-Week","05/04/2004","05/06/2004","06/03/2004","99.929","No","","","No","","05/06/2004","$19,000,000,000","Yes","No","$22,772,253,000"
"912795QW4","Bill","13-Week","05/03/2004","05/06/2004","08/05/2004","99.751","No","","","No","","05/06/2004","$18,000,000,000","Yes","No","$24,769,162,000"
"912795RK9","Bill","26-Week","05/03/2004","05/06/2004","11/04/2004","99.406","No","","","No","","05/06/2004","$15,000,000,000","No","No","$20,548,341,000"
"912828CF5","Note","2-Year","04/28/2004","04/30/2004","04/30/2006","99.961","No","","","No","2.250%","04/30/2004","$26,000,000,000","No","No","$34,333,752,000"
"912795QA2","Bill","4-Week","04/27/2004","04/29/2004","05/27/2004","99.931","No","","","No","","04/29/2004","$13,000,000,000","Yes","No","$16,945,847,000"
"912795QV6","Bill","13-Week","04/26/2004","04/29/2004","07/29/2004","99.755","No","","","No","","04/29/2004","$17,000,000,000","Yes","No","$23,524,868,000"
"912795RJ2","Bill","26-Week","04/26/2004","04/29/2004","10/28/2004","99.411","No","","","No","","04/29/2004","$14,000,000,000","No","No","$19,315,202,000"
"912795PZ8","Bill","4-Week","04/20/2004","04/22/2004","05/20/2004","99.929","No","","","No","","04/22/2004","$10,000,000,000","Yes","No","$14,135,643,000"
"912795QU8","Bill","13-Week","04/19/2004","04/22/2004","07/22/2004","99.764","No","","","No","","04/22/2004","$16,000,000,000","Yes","No","$22,318,883,000"
"912795RH6","Bill","26-Week","04/19/2004","04/22/2004","10/21/2004","99.454","No","","","No","","04/22/2004","$13,000,000,000","No","No","$18,017,072,000"
"912795PY1","Bill","4-Week","04/13/2004","04/15/2004","05/13/2004","99.930","No","","","No","","04/15/2004","$10,000,000,000","Yes","No","$14,142,615,000"
"912795QT1","Bill","13-Week","04/12/2004","04/15/2004","07/15/2004","99.769","No","","","No","","04/15/2004","$16,000,000,000","Yes","No","$22,013,783,000"
"912795RG8","Bill","26-Week","04/12/2004","04/15/2004","10/14/2004","99.482","No","","","No","","04/15/2004","$13,000,000,000","No","No","$17,874,030,000"
"912828BW9","Note","9-Year 9-Month","04/07/2004","04/15/2004","01/15/2014","102.189","No","","","No","2.000%","","$9,000,000,000","Yes","Yes","$9,000,018,000"
"912795QM6","Bill","11-Day","04/07/2004","04/08/2004","04/19/2004","99.970","Yes","","","No","","","$16,000,000,000","No","No","$16,000,437,000"
"912828CE8","Note","5-Year","04/06/2004","04/15/2004","04/15/2009","99.564","No","","","No","3.125%","","$16,000,000,000","No","No","$16,000,012,000"
"912795PX3","Bill","4-Week","04/06/2004","04/08/2004","05/06/2004","99.928","No","","","No","","04/08/2004","$14,000,000,000","Yes","No","$17,254,781,000"
"912795QS3","Bill","13-Week","04/05/2004","04/08/2004","07/08/2004","99.765","No","","","No","","04/08/2004","$17,000,000,000","Yes","No","$23,049,352,000"
"912795RF0","Bill","26-Week","04/05/2004","04/08/2004","10/07/2004","99.479","No","","","No","","04/08/2004","$14,000,000,000","No","No","$19,030,989,000"
"912795QL8","Bill","14-Day","04/05/2004","04/06/2004","04/20/2004","99.964","Yes","","","No","","","$5,000,000,000","No","No","$5,000,270,000"
"912795PU9","Bill","13-Day","04/01/2004","04/02/2004","04/15/2004","99.965","Yes","","","No","","","$25,000,000,000","Yes","No","$25,004,150,000"
"912795PW5","Bill","4-Week","03/30/2004","04/01/2004","04/29/2004","99.926","No","","","No","","04/01/2004","$19,000,000,000","Yes","No","$21,817,709,000"
"912795QR5","Bill","13-Week","03/29/2004","04/01/2004","07/01/2004","99.761","No","","","No","","04/01/2004","$18,000,000,000","Yes","No","$24,130,429,000"
"912795RE3","Bill","26-Week","03/29/2004","04/01/2004","09/30/2004","99.500","No","","","No","","04/01/2004","$15,000,000,000","No","No","$20,392,444,000"
"912828CD0","Note","2-Year","03/24/2004","03/31/2004","03/31/2006","99.961","No","","","No","1.500%","03/31/2004","$26,000,000,000","No","No","$34,333,733,000"
"912795PV7","Bill","4-Week","03/23/2004","03/25/2004","04/22/2004","99.927","No","","","No","","03/25/2004","$19,000,000,000","Yes","No","$21,400,342,000"
"912795QE4","Bill","13-Week","03/22/2004","03/25/2004","06/24/2004","99.765","No","","","No","","03/25/2004","$18,000,000,000","Yes","No","$23,914,245,000"
