"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100","Cash Management Bill (CMB)","Currently Outstanding","Estimated Amount of Publicly Held Maturing Securities by Type","Floating Rate","Interest Rate","Maturing Date","Offering Amount","Reopening","TIPS","Total Accepted"
"912796HD4","Bill","4-Week","01/26/2016","01/28/2016","02/25/2016","99.977056","No","$51,999,000,000","$94,999,000,000","No","","01/28/2016","$55,000,000,000","Yes","No","$55,000,423,900"
"912796GH6","Bill","13-Week","01/25/2016","01/28/2016","04/28/2016","99.922903","No","$50,999,000,000","$94,999,000,000","No","","01/28/2016","$34,000,000,000","Yes","No","$34,000,231,200"
"912796JC4","Bill","26-Week","01/25/2016","01/28/2016","07/28/2016","99.790194","No","","$94,999,000,000","No","","01/28/2016","$28,000,000,000","No","No","$28,000,300,400"
"912828N71","Note","10-Year","01/21/2016","01/29/2016","01/15/2026","98.946468","No","","$0","No","0.625%","01/29/2016","$15,000,000,000","No","Yes","$15,000,014,400"
"912796HC6","Bill","4-Week","01/20/2016","01/21/2016","02/18/2016","99.980556","No","$54,000,000,000","$94,999,000,000","No","","01/21/2016","$50,000,000,000","Yes","No","$50,000,719,300"
"912796HM4","Bill","13-Week","01/19/2016","01/21/2016","04/21/2016","99.935542","No","$26,005,000,000","$94,999,000,000","No","","01/21/2016","$31,000,000,000","Yes","No","$31,000,153,300"
"912796GW3","Bill","26-Week","01/19/2016","01/21/2016","07/21/2016","99.812944","No","$25,000,000,000","$94,999,000,000","No","","01/21/2016","$26,000,000,000","Yes","No","$26,000,448,100"
"912810RP5","Bond","29-Year 10-Month","01/14/2016","01/15/2016","11/15/2045","101.882164","No","$29,082,000,000","$52,352,000,000","No","3.000%","01/15/2016","$13,000,000,000","Yes","No","$13,000,002,300"
"912828M56","Note","9-Year 10-Month","01/13/2016","01/15/2016","11/15/2025","101.412894","No","$45,122,000,000","$52,352,000,000","No","2.250%","01/15/2016","$21,000,000,000","Yes","No","$21,000,041,600"
"912828N63","Note","3-Year","01/12/2016","01/15/2016","01/15/2019","99.855973","No","","$52,352,000,000","No","1.125%","01/15/2016","$24,000,000,000","No","No","$24,000,003,800"
