"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100","Cash Management Bill (CMB)","Currently Outstanding","Estimated Amount of Publicly Held Maturing Securities by Type","Floating Rate","Interest Rate","Maturing Date","Offering Amount","Reopening","TIPS","Total Accepted"
"9127956S5","Bill","26-Week","05/07/2012","05/10/2012","11/08/2012","99.926694","No","","$90,004,000,000","No","","05/10/2012","$28,000,000,000","No","No","$28,000,688,500"
"9127953S8","Bill","4-Week","05/01/2012","05/03/2012","05/31/2012","99.993778","No","$84,003,000,000","$111,998,000,000","No","","05/03/2012","$30,000,000,000","Yes","No","$35,938,292,600"
"9127956L0","Bill","52-Week","05/01/2012","05/03/2012","05/02/2013","99.812944","No","","$111,998,000,000","No","","05/03/2012","$26,000,000,000","No","No","$26,000,292,500"
"9127955Y3","Bill","13-Week","04/30/2012","05/03/2012","08/02/2012","99.975986","No","$29,002,000,000","$111,998,000,000","No","","05/03/2012","$30,000,000,000","Yes","No","$30,000,095,400"
"9127956P1","Bill","26-Week","04/30/2012","05/03/2012","11/01/2012","99.926694","No","","$111,998,000,000","No","","05/03/2012","$28,000,000,000","No","No","$28,000,335,000"
"912828ST8","Note","7-Year","04/26/2012","04/30/2012","04/30/2019","99.354100","No","","$58,298,000,000","No","1.250%","04/30/2012","$29,000,000,000","No","No","$29,779,201,400"
"912828SS0","Note","5-Year","04/25/2012","04/30/2012","04/30/2017","99.941438","No","","$58,298,000,000","No","0.875%","04/30/2012","$35,000,000,000","No","No","$35,940,363,500"
"912828SR2","Note","2-Year","04/24/2012","04/30/2012","04/30/2014","99.960135","No","","$58,298,000,000","No","0.250%","04/30/2012","$35,000,000,000","No","No","$35,940,493,300"
"9127955P2","Bill","4-Week","04/24/2012","04/26/2012","05/24/2012","99.994167","No","$60,003,000,000","$91,002,000,000","No","","04/26/2012","$30,000,000,000","Yes","No","$32,418,495,500"
"9127954B4","Bill","13-Week","04/23/2012","04/26/2012","07/26/2012","99.979778","No","$47,002,000,000","$91,002,000,000","No","","04/26/2012","$30,000,000,000","Yes","No","$30,000,348,400"
"9127956N6","Bill","26-Week","04/23/2012","04/26/2012","10/25/2012","99.934278","No","","$91,002,000,000","No","","04/26/2012","$28,000,000,000","No","No","$28,000,863,300"
"912828SQ4","Note","5-Year","04/19/2012","04/30/2012","04/15/2017","106.389051","No","","$58,298,000,000","No","0.125%","04/30/2012","$16,000,000,000","No","Yes","$16,429,892,400"
"9127955N7","Bill","4-Week","04/17/2012","04/19/2012","05/17/2012","99.994944","No","$60,002,000,000","$136,011,000,000","No","","04/19/2012","$30,000,000,000","Yes","No","$36,286,152,000"
"9127955X5","Bill","13-Week","04/16/2012","04/19/2012","07/19/2012","99.979778","No","$27,000,000,000","$136,011,000,000","No","","04/19/2012","$30,000,000,000","Yes","No","$30,000,966,200"
"9127955G2","Bill","26-Week","04/16/2012","04/19/2012","10/18/2012","99.931750","No","$24,999,000,000","$136,011,000,000","No","","04/19/2012","$28,000,000,000","Yes","No","$28,000,060,800"
