"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100","Cash Management Bill (CMB)","Currently Outstanding","Estimated Amount of Publicly Held Maturing Securities by Type","Floating Rate","Interest Rate","Maturing Date","Offering Amount","Reopening","TIPS","Total Accepted"
"912794ZL1","Bill","13-Week","06/15/1992","06/18/1992","09/17/1992","","No","","","No","","","$11,600,000,000","Yes","No","$11,740,995,000"
"912794ZB3","Bill","26-Week","06/15/1992","06/18/1992","12/17/1992","","No","","","No","","","$11,600,000,000","Yes","No","$11,667,885,000"
"912794ZK3","Bill","13-Week","06/08/1992","06/11/1992","09/10/1992","","No","","","No","","","$11,600,000,000","Yes","No","$11,931,250,000"
"912794ZV9","Bill","26-Week","06/08/1992","06/11/1992","12/10/1992","","No","","","No","","","$11,600,000,000","No","No","$11,862,410,000"
"912794ZJ6","Bill","13-Week","06/01/1992","06/04/1992","09/03/1992","","No","","","No","","","$11,600,000,000","Yes","No","$11,671,345,000"
"912794ZU1","Bill","26-Week","06/01/1992","06/04/1992","12/03/1992","","No","","","No","","","$11,600,000,000","No","No","$11,663,300,000"
"912794D27","Bill","52-Week","05/28/1992","06/04/1992","06/03/1993","","No","","","No","","","$13,750,000,000","No","No","$14,279,990,000"
"912794YT5","Bill","15-Day","05/27/1992","06/03/1992","06/18/1992","","Yes","","","No","","","$6,000,000,000","Yes","No","$6,014,150,000"
"912794YX6","Bill","13-Week","05/26/1992","05/28/1992","08/27/1992","","No","","","No","","","$11,600,000,000","Yes","No","$11,622,200,000"
"912794ZT4","Bill","26-Week","05/26/1992","05/28/1992","11/27/1992","","No","","","No","","","$11,600,000,000","No","No","$11,647,050,000"
"912827F64","Note","5-Year","05/21/1992","06/01/1992","05/31/1997","","No","","","No","6.750%","","$10,250,000,000","No","No","$11,011,541,000"
"912827F56","Note","2-Year","05/20/1992","06/01/1992","05/31/1994","","No","","","No","5.125%","","$14,750,000,000","No","No","$15,765,580,000"
"912794ZH0","Bill","13-Week","05/18/1992","05/21/1992","08/20/1992","","No","","","No","","","$11,600,000,000","Yes","No","$11,866,865,000"
"912794ZA5","Bill","26-Week","05/18/1992","05/21/1992","11/19/1992","","No","","","No","","","$11,600,000,000","Yes","No","$12,179,375,000"
"912794YT5","Bill","34-Day","05/13/1992","05/15/1992","06/18/1992","","Yes","","","No","","","$10,000,000,000","Yes","No","$10,018,700,000"
"912794ZG2","Bill","13-Week","05/11/1992","05/14/1992","08/13/1992","","No","","","No","","","$11,600,000,000","Yes","No","$11,801,005,000"
"912794ZS6","Bill","26-Week","05/11/1992","05/14/1992","11/12/1992","","No","","","No","","","$11,600,000,000","No","No","$12,070,670,000"
"912810EL8","Bond","29-Year 6-Month","05/07/1992","05/15/1992","11/15/2021","","No","","","No","8.000%","","$10,000,000,000","Yes","No","$10,493,767,000"
"912827F49","Note","10-Year","05/06/1992","05/15/1992","05/15/2002","","No","","","No","7.500%","","$11,000,000,000","No","No","$11,687,571,000"
"912827F31","Note","3-Year","05/05/1992","05/15/1992","05/15/1995","","No","","","No","5.875%","","$15,000,000,000","No","No","$19,108,450,000"
"912794ZF4","Bill","13-Week","05/04/1992","05/07/1992","08/06/1992","","No","","","No","","","$11,400,000,000","Yes","No","$11,609,825,000"
"912794ZR8","Bill","26-Week","05/04/1992","05/07/1992","11/05/1992","","No","","","No","","","$11,400,000,000","No","No","$11,840,525,000"
"912794C51","Bill","52-Week","04/30/1992","05/07/1992","05/06/1993","","No","","","No","","","$13,750,000,000","No","No","$14,437,470,000"
"912794YW8","Bill","13-Week","04/27/1992","04/30/1992","07/30/1992","","No","","","No","","","$11,400,000,000","Yes","No","$11,467,295,000"
"912794ZQ0","Bill","26-Week","04/27/1992","04/30/1992","10/29/1992","","No","","","No","","","$11,400,000,000","No","No","$11,419,110,000"
"912827F23","Note","5-Year","04/23/1992","04/30/1992","04/30/1997","","No","","","No","6.875%","","$10,250,000,000","No","No","$11,398,018,000"
"912827E99","Note","2-Year","04/22/1992","04/30/1992","04/30/1994","","No","","","No","5.375%","","$14,750,000,000","No","No","$16,346,965,000"
"912794ZE7","Bill","13-Week","04/20/1992","04/23/1992","07/23/1992","","No","","","No","","","$11,400,000,000","Yes","No","$11,443,865,000"
"912794YZ1","Bill","26-Week","04/20/1992","04/23/1992","10/22/1992","","No","","","No","","","$11,400,000,000","Yes","No","$11,407,650,000"
"912794ZD9","Bill","13-Week","04/13/1992","04/16/1992","07/16/1992","","No","","","No","","","$11,400,000,000","Yes","No","$11,428,330,000"
"912794ZP2","Bill","26-Week","04/13/1992","04/16/1992","10/15/1992","","No","","","No","","","$11,400,000,000","No","No","$11,401,235,000"
