"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100","Cash Management Bill (CMB)","Currently Outstanding","Estimated Amount of Publicly Held Maturing Securities by Type","Floating Rate","Interest Rate","Maturing Date","Offering Amount","Reopening","TIPS","Total Accepted"
"91282CJU6","Note","1-Year 10-Month","03/27/2024","04/01/2024","01/31/2026","","No","$56,000,000,000","$0","Yes","","04/01/2024","$28,000,000,000","Yes","No",""
"91282CKF7","Note","7-Year","03/27/2024","04/01/2024","03/31/2031","","No","","$92,224,000,000","No","","03/31/2024","$43,000,000,000","No","No",""
"91282CKG5","Note","5-Year","03/26/2024","04/01/2024","03/31/2029","","No","","$92,224,000,000","No","","03/31/2024","$67,000,000,000","No","No",""
"912797HQ3","Bill","42-Day","03/26/2024","03/28/2024","05/09/2024","","Yes","$158,990,000,000","$216,999,000,000","No","","03/28/2024","$70,000,000,000","Yes","No",""
"91282CKH3","Note","2-Year","03/25/2024","04/01/2024","03/31/2026","99.820388","No","","$92,224,000,000","No","4.500%","03/31/2024","$66,000,000,000","No","No","$66,000,028,700"
"912796Y45","Bill","13-Week","03/25/2024","03/28/2024","06/27/2024","98.677972","No","$70,345,000,000","$216,999,000,000","No","","03/28/2024","$73,000,000,000","Yes","No","$73,494,330,300"
"912797KM8","Bill","26-Week","03/25/2024","03/28/2024","09/26/2024","97.419139","No","","$216,999,000,000","No","","03/28/2024","$70,000,000,000","No","No","$70,473,344,200"
"91282CJY8","Note","9-Year 10-Month","03/21/2024","03/28/2024","01/15/2034","98.639866","No","$18,000,000,000","$0","No","1.750%","03/28/2024","$16,000,000,000","Yes","Yes","$16,000,005,700"
"912797JP3","Bill","4-Week","03/21/2024","03/26/2024","04/23/2024","99.590111","No","$146,714,000,000","$240,977,000,000","No","","03/26/2024","$85,000,000,000","Yes","No","$85,097,200,800"
"912797JX6","Bill","8-Week","03/21/2024","03/26/2024","05/21/2024","99.180222","No","$58,305,000,000","$240,977,000,000","No","","03/26/2024","$85,000,000,000","Yes","No","$85,097,288,000"
"912797KQ9","Bill","17-Week","03/20/2024","03/26/2024","07/23/2024","98.276153","No","","$240,977,000,000","No","","03/26/2024","$60,000,000,000","No","No","$60,068,120,000"
"912810TZ1","Bond","19-Year 11-Month","03/19/2024","04/01/2024","02/15/2044","99.444553","No","$16,673,000,000","$92,224,000,000","No","4.500%","03/31/2024","$13,000,000,000","Yes","No","$13,000,024,800"
"912797HH3","Bill","42-Day","03/19/2024","03/21/2024","05/02/2024","99.384000","Yes","$162,567,000,000","$251,120,000,000","No","","03/21/2024","$75,000,000,000","Yes","No","$75,001,645,000"
"912797KJ5","Bill","52-Week","03/19/2024","03/21/2024","03/20/2025","95.136556","No","","$251,120,000,000","No","","03/21/2024","$46,000,000,000","No","No","$46,104,716,900"
"912796ZW2","Bill","13-Week","03/18/2024","03/21/2024","06/20/2024","98.674181","No","$68,485,000,000","$251,120,000,000","No","","03/21/2024","$76,000,000,000","Yes","No","$76,173,287,400"
"912797KL0","Bill","26-Week","03/18/2024","03/21/2024","09/19/2024","97.406500","No","","$251,120,000,000","No","","03/21/2024","$70,000,000,000","No","No","$70,159,663,500"
"912797JN8","Bill","4-Week","03/14/2024","03/19/2024","04/16/2024","99.589333","No","$146,697,000,000","$235,995,000,000","No","","03/19/2024","$95,000,000,000","Yes","No","$95,097,858,000"
"912797JW8","Bill","8-Week","03/14/2024","03/19/2024","05/14/2024","99.179444","No","$56,284,000,000","$235,995,000,000","No","","03/19/2024","$90,000,000,000","Yes","No","$90,091,935,800"
"912797KP1","Bill","17-Week","03/13/2024","03/19/2024","07/16/2024","98.277806","No","","$235,995,000,000","No","","03/19/2024","$60,000,000,000","No","No","$60,061,959,000"
"912810TX6","Bond","29-Year 11-Month","03/13/2024","03/15/2024","02/15/2054","98.642640","No","$26,846,000,000","$56,278,000,000","No","4.250%","03/15/2024","$22,000,000,000","Yes","No","$22,000,030,500"
"91282CJZ5","Note","9-Year 11-Month","03/12/2024","03/15/2024","02/15/2034","98.656761","No","$45,104,000,000","$56,278,000,000","No","4.000%","03/15/2024","$39,000,000,000","Yes","No","$39,000,004,400"
"912797HG5","Bill","42-Day","03/12/2024","03/14/2024","04/25/2024","99.383417","Yes","$153,578,000,000","$216,990,000,000","No","","03/14/2024","$80,000,000,000","Yes","No","$80,001,086,200"
"91282CKE0","Note","3-Year","03/11/2024","03/15/2024","03/15/2027","99.983268","No","","$56,278,000,000","No","4.250%","03/15/2024","$56,000,000,000","No","No","$56,000,018,600"
"912797FS1","Bill","13-Week","03/11/2024","03/14/2024","06/13/2024","98.672917","No","$109,644,000,000","$216,990,000,000","No","","03/14/2024","$79,000,000,000","Yes","No","$79,331,123,700"
"912797KK2","Bill","26-Week","03/11/2024","03/14/2024","09/12/2024","97.421667","No","","$216,990,000,000","No","","03/14/2024","$70,000,000,000","No","No","$70,293,933,600"
